subject2,WhiteDirectMean,BlackDirectMean,WhiteIndirectMean,BlackIndirectMean,Indirect,Direct,IndirectR,DirectR,Condition,age,ethnicity,gender,Site,USvIT,ConditionF,USvITF
1,3,2.8333333333333335,2.9583333333333335,2.8333333333333335,0.125,0.16666666666666652,1.0441176470588236,1.0588235294117647,-1,20,Caucasico/Europeo,2,Genova,1,-1,1
2,2.5833333333333335,2.5,2.7916666666666665,2.375,0.4166666666666665,0.08333333333333348,1.175438596491228,1.0333333333333334,1,20,Caucasico/Europeo,2,Genova,1,1,1
3,3.5833333333333335,3.5,4,4,0,0.08333333333333348,1,1.023809523809524,-1,20,Caucasico/Europeo,2,Genova,1,-1,1
4,2.4166666666666665,2.6666666666666665,2.75,3.0833333333333335,-0.3333333333333335,-0.25,0.8918918918918919,0.90625,1,19,Caucasico/Europeo,2,Genova,1,1,1
5,2.5833333333333335,2.9166666666666665,2.375,2.8333333333333335,-0.4583333333333335,-0.33333333333333304,0.838235294117647,0.8857142857142858,-1,20,Caucasico/Europeo,2,Genova,1,-1,1
6,1.5,2.25,2.7083333333333335,2.625,0.08333333333333348,-0.75,1.0317460317460319,0.6666666666666666,1,20,Caucasico/Europeo,2,Genova,1,1,1
7,2.25,2.6666666666666665,2.5,2.75,-0.25,-0.4166666666666665,0.9090909090909091,0.84375,-1,19,Caucasico/Europeo,2,Genova,1,-1,1
8,2.8333333333333335,3,3.125,3.0416666666666665,0.08333333333333348,-0.16666666666666652,1.0273972602739727,0.9444444444444445,1,20,Caucasico/Europeo,2,Genova,1,1,1
9,2.3333333333333335,2.9166666666666665,2.625,2.9166666666666665,-0.2916666666666665,-0.583333333333333,0.9,0.8,-1,21,Caucasico/Europeo,1,Genova,1,-1,1
10,3,3,3,3,0,0,1,1,1,19,Caucasico/Europeo,1,Genova,1,1,1
11,2.1666666666666665,2.0833333333333335,2.4583333333333335,2.625,-0.16666666666666652,0.08333333333333304,0.9365079365079365,1.0399999999999998,-1,20,Caucasico/Europeo,1,Genova,1,-1,1
12,2.5,2.0833333333333335,2.6666666666666665,2.875,-0.20833333333333348,0.4166666666666665,0.9275362318840579,1.2,1,20,Caucasico/Europeo,2,Genova,1,1,1
13,2.1666666666666665,2.1666666666666665,3.125,2.9166666666666665,0.20833333333333348,0,1.0714285714285714,1,-1,20,Caucasico/Europeo,2,Genova,1,-1,1
14,2.25,2.75,2.2916666666666665,2.7916666666666665,-0.5,-0.5,0.8208955223880597,0.8181818181818182,1,20,Caucasico/Europeo,2,Genova,1,1,1
